title,location,price,price_per_sqm,url,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Cellar,Fireplace
,"Quezon City, Metro Manila","₱ 25,000,000","(₱ 83,333 / m2)",https://www.dotproperty.com.ph/4-bedroom-house-for-sale-in-batasan-hills-metro-manila_6160937,4,4,300 m2,311 m2,2,"4 Bedroom House for sale in Batasan Hills, Metro Manila",14.6843724,121.0909537,"Filinvest 1, Filinvest 1 Road 1, Batasan, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 35,000,000","(₱ 109,375 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-batasan-hills-metro-manila_9c4d10d0659d-0e51-3992-6aaf-ec298089,5,4,320 m2,560 m2,,"5 Bedroom House for sale in Batasan Hills, Metro Manila",14.6904003,121.0994166,"Filinvest 2 Road, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Utility room']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
,"Quezon City, Metro Manila","₱ 55,000,000","(₱ 220,000 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-loyola-heights-metro-manila-near-lrt-2-anonas_560db0887151-93e1-dcc2-6a7f-c0027089,5,5,250 m2,400 m2,,"5 Bedroom House for sale in Loyola Heights, Metro Manila near LRT-2 Anonas",14.6358442,121.064742,"1 Xavierville Avenue, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Garden', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 20,000,000","(₱ 62,500 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-matandang-balara-metro-manila_b21a420b3863-d811-7dd2-4d02-e1176089,4,5,320 m2,180 m2,,"4 Bedroom House for sale in Matandang Balara, Metro Manila",14.675934,121.0733609,"North Susana Executive Village, North Susana, Matandang Balara, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Garden', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 15,000,000","(₱ 115,385 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-teachers-village-east-metro-manila_14127b24007d-f49e-ed05-7015-8c81fe8b,3,2,130 m2,103 m2,,"3 Bedroom House for sale in Teachers Village East, Metro Manila",14.6436998,121.0600253,"Teachers Village East, Diliman, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Electricity', 'Water']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 7,800,000","(₱ 43,333 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-house-for-sale-in-fairview-metro-manila_be6aef164a2c-5871-2002-2579-45086089,2,2,180 m2,120 m2,,"2 Bedroom House for sale in Fairview, Metro Manila",14.6939452,121.0662178,"B12 L7 Orange Count St., Ciudad Verde Executive Village, Fairview, Quezon City, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Car park', 'Electricity', 'Water', 'Built-in kitchen']",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 138,000,000","(₱ 153,333 / m2)",https://www.dotproperty.com.ph/6-bedroom-house-for-sale-in-horseshoe-metro-manila_9668251,6,6,900 m2,500 m2,,"6 Bedroom House for sale in Horseshoe, Metro Manila near LRT-2 Betty Go-Belmonte",14.6109802,121.0436062,"Horseshoe Village, Sunset Dr, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Security', 'Car park', 'Garden', 'Balcony', 'Built-in wardrobe', 'Built-in kitchen']",0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 46,000,000","(₱ 95,833 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-batasan-hills-metro-manila_15d1d1878119-5b71-4992-0697-33378089,4,4,480 m2,420 m2,3,"4 Bedroom House for sale in Batasan Hills, Metro Manila",14.6846347,121.1092202,"2 Filinvest 2 Road, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Car park', 'Garden', 'Office', 'Utility room']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,
,"Quezon City, Metro Manila","₱ 34,000,000","(₱ 112,583 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-batasan-hills-metro-manila_ca2487e955a1-f3f1-d992-e096-af1b9089,3,3,302 m2,300 m2,,"3 Bedroom House for sale in Batasan Hills, Metro Manila",14.6805689,121.0935784,"Filinvest 1 Subdivision, Mount Fairweather, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Car park', 'Utility room']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
,"Quezon City, Metro Manila","₱ 35,000,000","(₱ 82,353 / m2)",https://www.dotproperty.com.ph/ads/11-bedroom-house-for-sale-in-holy-spirit-metro-manila_0035858979f9-ec20-e9c5-ef3d-598a7221,11,2,425 m2,475 m2,,"11 Bedroom House for sale in Holy Spirit, Metro Manila",14.6835997,121.0781153,"Isidora Hills Subdivision, Drive, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Equipped kitchen', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 38,000,000","(₱ 47,500 / m2)",https://www.dotproperty.com.ph/ads/7-bedroom-house-for-sale-in-batasan-hills-metro-manila_e1108d680455-b200-f5d5-e992-9f1515a0,7,5,800 m2,289 m2,,"7 Bedroom House for sale in Batasan Hills, Metro Manila",14.6751942,121.101558,"Vista Real Classica, Kingsway St, Matandang Balara, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Equipped kitchen', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 165,000,000","(₱ 261,905 / m2)",https://www.dotproperty.com.ph/7-bedroom-house-for-sale-in-batasan-hills-metro-manila_8762580,7,9,630 m2,"1,396 m2",,"7 Bedroom House for sale in Batasan Hills, Metro Manila",14.6774313,121.0944147,"Tivoli Royale, London, Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 50,000,000","(₱ 142,857 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-tandang-sora-metro-manila_71d203667942-af8f-bb88-3fbe-9b5e0e2b,5,5,350 m2,578 m2,,"5 Bedroom House for sale in Tandang Sora, Metro Manila",14.6819218,121.0421102,"Tandang Sora, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen', 'Utility room']",0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,
,"Quezon City, Metro Manila","₱ 7,600,000","(₱ 50,331 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-kaligayahan-metro-manila_32b083764188-3720-deb5-5b9e-03cdf82a,3,3,151 m2,100 m2,,"3 Bedroom House for sale in Kaligayahan, Metro Manila",14.7291254,121.0420927,"Greenfields 1, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Car park', 'Tennis court']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 369,050,000","(₱ 492,067 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-ugong-norte-metro-manila_7291e0dd32e0-dad1-b165-2c6c-cbe38496,3,4,750 m2,605 m2,,"3 Bedroom House for sale in Ugong Norte, Metro Manila",14.5954236,121.0653174,"Corinthian Gardens Clubhouse, Don Vicente Rufino Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 26,000,000","(₱ 81,250 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-bagong-silangan-metro-manila_c7b2539ff120-0030-8ef5-e215-89ad412d,3,3,320 m2,192 m2,,"3 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 356,950,000","(₱ 475,933 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-ugong-norte-metro-manila_69f71aacb163-4531-d195-31d3-3bb66866,4,4,750 m2,605 m2,,"4 Bedroom House for sale in Ugong Norte, Metro Manila",14.5947348,121.0653993,"Corinthian Gardens Park, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
